com.google.cloud/google-cloud-storage,com.google.cloud/google-cloud-storage/1.4.0
com.google.code.gson/gson,com.google.code.gson/gson/2.5
com.google.guava/guava,com.google.guava/guava/23.0
commons-fileupload/commons-fileupload,commons-fileupload/commons-fileupload/1.3.1
org.apache.jclouds/jclouds-compute,org.apache.jclouds/jclouds-compute/2.1.2
org.apache.jclouds/jclouds-core,org.apache.jclouds/jclouds-core/2.1.2
org.apache.jclouds.provider/cloudfiles-us,org.apache.jclouds.provider/cloudfiles-us/1.9.2
org.apache.jclouds.provider/aws-s3,org.apache.jclouds.provider/aws-s3/2.1.2
org.grails/grails-core,org.grails/grails-core/3.3.5
org.grails/grails-web-boot,org.grails/grails-web-boot/3.3.5
org.grails.plugins/cache,org.grails.plugins/cache/4.0.0
org.grails.plugins/scaffolding,org.grails.plugins/scaffolding/3.4.1
org.grails.plugins/gsp,org.grails.plugins/gsp/3.3.1
org.ow2.asm/asm,org.ow2.asm/asm/5.0.3
org.springframework.boot/spring-boot-starter-logging,org.springframework.boot/spring-boot-starter-logging/1.5.12.RELEASE
org.springframework.boot/spring-boot-autoconfigure,org.springframework.boot/spring-boot-autoconfigure/1.5.12.RELEASE
org.springframework.boot/spring-boot-starter-actuator,org.springframework.boot/spring-boot-starter-actuator/1.5.12.RELEASE
org.springframework.boot/spring-boot-starter-tomcat,org.springframework.boot/spring-boot-starter-tomcat/1.5.12.RELEASE
cglib/cglib,cglib/cglib/3.2.5
org.grails/grails-test-mixins,org.grails/grails-test-mixins/3.3.0
org.grails/grails-gorm-testing-support,org.grails/grails-gorm-testing-support/1.1.4
org.grails/grails-datastore-rest-client,org.grails/grails-datastore-rest-client/6.1.9.RELEASE
org.grails/grails-web-testing-support,org.grails/grails-web-testing-support/1.1.4
org.grails.plugins/build-test-data,org.grails.plugins/build-test-data/3.3.0
org.grails/grails-bom,org.grails/grails-bom/3.3.5
org.springframework.boot/spring-boot-starter-parent,org.springframework.boot/spring-boot-starter-parent/1.5.12.RELEASE
