com.squareup/javapoet,com.squareup/javapoet/1.9.0
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
com.progressoft.brix.domino.test/apt-test,com.progressoft.brix.domino.test/apt-test/1.0-rc.2
commons-io/commons-io,commons-io/commons-io/2.5
ant/ant,ant/ant/1.6.5
colt/colt,colt/colt/1.2.0
com.google.code.findbugs/jsr305,com.google.code.findbugs/jsr305/1.3.9
com.google.code.gson/gson,com.google.code.gson/gson/2.6.2
com.google.elemental2/elemental2-core,com.google.elemental2/elemental2-core/1.0.0-RC1
com.google.elemental2/elemental2-dom,com.google.elemental2/elemental2-dom/1.0.0-RC1
com.google.gwt/gwt,com.google.gwt/gwt/2.8.2
com.google.gwt/gwt-user,com.google.gwt/gwt-user/2.8.2
com.google.gwt/gwt-dev,com.google.gwt/gwt-dev/2.8.2
com.google.gwt/gwt-codeserver,com.google.gwt/gwt-codeserver/2.8.2
com.google.gwt/gwt-servlet,com.google.gwt/gwt-servlet/2.8.2
com.google.gwt/gwt-elemental,com.google.gwt/gwt-elemental/2.8.2
com.google.jsinterop/jsinterop,com.google.jsinterop/jsinterop/1.0.2
com.google.web.bindery/requestfactory,com.google.web.bindery/requestfactory/2.8.2
com.ibm.icu/icu4j,com.ibm.icu/icu4j/50.1.1
com.progressoft.brix.domino/domino-client-commons,com.progressoft.brix.domino/domino-client-commons/1.0-rc.2
com.progressoft.brix.domino,com.progressoft.brix.domino/jks-server-cofigurator
com.progressoft.brix.domino/domino-service-discovery,com.progressoft.brix.domino/domino-service-discovery/1.0-rc.2
com.progressoft.brix.domino/domino-desktop,com.progressoft.brix.domino/domino-desktop/1.0-rc.2
com.progressoft.brix.domino.api/domino-api-client,com.progressoft.brix.domino.api/domino-api-client/1.0-rc.2
com.progressoft.brix.domino.api/domino-api-server,com.progressoft.brix.domino.api/domino-api-server/1.0-rc.2
com.progressoft.brix.domino.api/domino-api-shared,com.progressoft.brix.domino.api/domino-api-shared/1.0-rc.2
com.progressoft.brix.domino.apt/apt-client,com.progressoft.brix.domino.apt/apt-client/1.0-rc.2
com.progressoft.brix.domino.apt/apt-server,com.progressoft.brix.domino.apt/apt-server/1.0-rc.2
com.progressoft.brix.domino.impl/domino-gwt,com.progressoft.brix.domino.impl/domino-gwt/1.0-rc.2
com.progressoft.brix.domino.logging/domino-gwt-logger,com.progressoft.brix.domino.logging/domino-gwt-logger/1.0-rc.2
com.progressoft.brix.domino.logging/domino-log4j-server-logging,com.progressoft.brix.domino.logging/domino-log4j-server-logging/1.0-rc.2
com.progressoft.brix.domino.test/domino-client-test,com.progressoft.brix.domino.test/domino-client-test/1.0-rc.2
com.progressoft.brix.domino.test/domino-server-test,com.progressoft.brix.domino.test/domino-server-test/1.0-rc.2
commons-collections/commons-collections,commons-collections/commons-collections/3.2.2
commons-io/commons-io,commons-io/commons-io/2.4
io.vertx/vertx-web,io.vertx/vertx-web/3.4.2
io.vertx/vertx-unit,io.vertx/vertx-unit/3.4.2
io.vertx/vertx-config,io.vertx/vertx-config/3.4.2
io.vertx/vertx-service-discovery,io.vertx/vertx-service-discovery/3.4.2
io.vertx/vertx-web-client,io.vertx/vertx-web-client/3.4.2
io.vertx/vertx-service-proxy,io.vertx/vertx-service-proxy/3.4.2
io.vertx/vertx-codegen,io.vertx/vertx-codegen/3.4.2
io.vertx/vertx-jdbc-client,io.vertx/vertx-jdbc-client/3.4.2
io.vertx/vertx-redis-client,io.vertx/vertx-redis-client/3.4.2
io.vertx/vertx-mongo-client,io.vertx/vertx-mongo-client/3.4.2
javax.servlet/javax.servlet-api,javax.servlet/javax.servlet-api/3.1.0
javax.validation/validation-api,javax.validation/validation-api/1.1.0.Final
javax.validation/validation-api,javax.validation/validation-api/1.0.0.GA
javax.ws.rs/javax.ws.rs-api,javax.ws.rs/javax.ws.rs-api/2.0.1
net.sourceforge.htmlunit/htmlunit,net.sourceforge.htmlunit/htmlunit/2.19
org.apache.logging.log4j/log4j-api,org.apache.logging.log4j/log4j-api/2.8.2
org.apache.logging.log4j/log4j-core,org.apache.logging.log4j/log4j-core/2.8.2
org.eclipse.jetty/jetty-webapp,org.eclipse.jetty/jetty-webapp/9.2.14.v20151106
org.eclipse.jetty/jetty-servlets,org.eclipse.jetty/jetty-servlets/9.2.14.v20151106
org.eclipse.jetty/jetty-annotations,org.eclipse.jetty/jetty-annotations/9.2.14.v20151106
org.eclipse.jetty/apache-jsp,org.eclipse.jetty/apache-jsp/9.2.14.v20151106
org.eclipse.jetty/jetty-continuation,org.eclipse.jetty/jetty-continuation/9.2.14.v20151106
org.eclipse.jetty/jetty-http,org.eclipse.jetty/jetty-http/9.2.14.v20151106
org.eclipse.jetty/jetty-io,org.eclipse.jetty/jetty-io/9.2.14.v20151106
org.eclipse.jetty/jetty-jndi,org.eclipse.jetty/jetty-jndi/9.2.14.v20151106
