com.google.auto/auto-common,com.google.auto/auto-common/0.8
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
com.google.auto.value/auto-value,com.google.auto.value/auto-value/1.5
com.google.code.findbugs/jsr305,com.google.code.findbugs/jsr305/1.3.9
cz.jcode.auto.value/auto-value-step-builder-annotations,cz.jcode.auto.value/auto-value-step-builder-annotations/0.0.3
org.apache.velocity/velocity,org.apache.velocity/velocity/1.7
org.apache.velocity/velocity-tools,org.apache.velocity/velocity-tools/2.0
org.apiguardian/apiguardian-api,org.apiguardian/apiguardian-api/1.0.0
com.google.testing.compile/compile-testing,com.google.testing.compile/compile-testing/0.11
commons-io/commons-io,commons-io/commons-io/2.5
org.junit.jupiter/junit-jupiter-api,org.junit.jupiter/junit-jupiter-api/5.0.1
org.junit.jupiter/junit-jupiter-params,org.junit.jupiter/junit-jupiter-params/5.0.1
org.junit.jupiter/junit-jupiter-engine,org.junit.jupiter/junit-jupiter-engine/5.0.1
