com.alibaba/fastjson,com.alibaba/fastjson/1.2.47
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
com.google.guava/guava,com.google.guava/guava/24.0-jre
com.google.protobuf/protobuf-java,com.google.protobuf/protobuf-java/3.5.1
com.jcraft/jsch,com.jcraft/jsch/0.1.54
commons-beanutils/commons-beanutils,commons-beanutils/commons-beanutils/1.9.3
commons-codec/commons-codec,commons-codec/commons-codec/1.10
commons-io/commons-io,commons-io/commons-io/2.4
io.thekraken/grok,io.thekraken/grok/0.1.5
org.apache.commons/commons-lang3,org.apache.commons/commons-lang3/3.5
org.apache.commons/commons-compress,org.apache.commons/commons-compress/1.14
org.javassist/javassist,org.javassist/javassist/3.18.1-GA
org.mvel/mvel2,org.mvel/mvel2/2.3.1.Final
org.projectlombok/lombok,org.projectlombok/lombok/1.16.16
org.projectlombok/lombok-utils,org.projectlombok/lombok-utils/1.16.16
org.yaml/snakeyaml,ch.qos.logback
ch.qos.logback/logback-classic,ch.qos.logback/logback-classic/1.1.3
com.google.inject/guice,com.google.inject/guice/4.1.0
