com.beust/jcommander,com.beust/jcommander/1.48
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
com.google.guava/guava,com.google.guava/guava/14.0.1
commons-configuration/commons-configuration,commons-configuration/commons-configuration/1.6
commons-io/commons-io,commons-io/commons-io/2.4
log4j/log4j,log4j/log4j/1.2.17
org.apache.accumulo/accumulo-core,org.apache.accumulo/accumulo-core/1.9.3
org.apache.accumulo/accumulo-gc,org.apache.accumulo/accumulo-gc/1.9.3
org.apache.accumulo/accumulo-master,org.apache.accumulo/accumulo-master/1.9.3
org.apache.accumulo/accumulo-monitor,org.apache.accumulo/accumulo-monitor/1.9.3
org.apache.accumulo/accumulo-server-base,org.apache.accumulo/accumulo-server-base/1.9.3
org.apache.accumulo/accumulo-start,org.apache.accumulo/accumulo-start/1.9.3
org.apache.accumulo/accumulo-tracer,org.apache.accumulo/accumulo-tracer/1.9.3
org.apache.accumulo/accumulo-tserver,org.apache.accumulo/accumulo-tserver/1.9.3
org.apache.commons/commons-vfs2,org.apache.commons/commons-vfs2/2.1
org.apache.zookeeper/zookeeper,org.apache.zookeeper/zookeeper/3.4.6
junit/junit,junit/junit/4.12
org.apache.curator/curator-framework,org.apache.curator/curator-framework/2.11.0
org.apache.curator/curator-test,org.apache.curator/curator-test/2.11.0
org.easymock/easymock,org.easymock/easymock/3.6
org.slf4j/slf4j-log4j12,org.slf4j/slf4j-log4j12/1.7.25
