com.beust/jcommander,com.beust/jcommander/1.48
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
com.google.guava/guava,com.google.guava/guava/14.0.1
commons-io/commons-io,commons-io/commons-io/2.4
log4j/log4j,log4j/log4j/1.2.17
org.apache.accumulo/accumulo-core,org.apache.accumulo/accumulo-core/1.9.3
org.apache.accumulo/accumulo-minicluster,org.apache.accumulo/accumulo-minicluster/1.9.3
org.apache.accumulo/accumulo-server-base,org.apache.accumulo/accumulo-server-base/1.9.3
org.apache.thrift/libthrift,org.apache.thrift/libthrift/0.9.3-1
org.slf4j/slf4j-api,org.slf4j/slf4j-api/1.7.25
junit/junit,junit/junit/4.12
org.apache.accumulo/accumulo-examples-simple,org.apache.accumulo/accumulo-examples-simple/1.9.3
org.easymock/easymock,org.easymock/easymock/3.6
org.slf4j/slf4j-log4j12,org.slf4j/slf4j-log4j12/1.7.25
