com.beust/jcommander,com.beust/jcommander/1.48
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
com.google.guava/guava,com.google.guava/guava/14.0.1
commons-cli/commons-cli,commons-cli/commons-cli/1.2
commons-codec/commons-codec,commons-codec/commons-codec/1.4
commons-configuration/commons-configuration,commons-configuration/commons-configuration/1.6
commons-io/commons-io,commons-io/commons-io/2.4
commons-lang/commons-lang,commons-lang/commons-lang/2.4
jline/jline,jline/jline/2.11
junit/junit,junit/junit/4.12
log4j/log4j,log4j/log4j/1.2.17
org.apache.accumulo/accumulo-core,org.apache.accumulo/accumulo-core/1.9.3
org.apache.accumulo/accumulo-examples-simple,org.apache.accumulo/accumulo-examples-simple/1.9.3
org.apache.accumulo/accumulo-fate,org.apache.accumulo/accumulo-fate/1.9.3
org.apache.accumulo/accumulo-gc,org.apache.accumulo/accumulo-gc/1.9.3
org.apache.accumulo/accumulo-master,org.apache.accumulo/accumulo-master/1.9.3
org.apache.accumulo/accumulo-minicluster,org.apache.accumulo/accumulo-minicluster/1.9.3
org.apache.accumulo/accumulo-monitor,org.apache.accumulo/accumulo-monitor/1.9.3
org.apache.accumulo/accumulo-native,org.apache.accumulo/accumulo-native/1.9.3
org.apache.accumulo/accumulo-proxy,org.apache.accumulo/accumulo-proxy/1.9.3
org.apache.accumulo/accumulo-server-base,org.apache.accumulo/accumulo-server-base/1.9.3
org.apache.accumulo/accumulo-start,org.apache.accumulo/accumulo-start/1.9.3
org.apache.accumulo/accumulo-trace,org.apache.accumulo/accumulo-trace/1.9.3
org.apache.accumulo/accumulo-tracer,org.apache.accumulo/accumulo-tracer/1.9.3
org.apache.accumulo/accumulo-tserver,org.apache.accumulo/accumulo-tserver/1.9.3
org.apache.commons/commons-lang3,org.apache.commons/commons-lang3/3.1
org.apache.commons/commons-math3,org.apache.commons/commons-math3/3.6.1
org.apache.hadoop/hadoop-distcp,org.apache.hadoop/hadoop-distcp/2.6.4
org.apache.hadoop/hadoop-minikdc,org.apache.hadoop/hadoop-minikdc/2.6.4
org.apache.thrift/libthrift,org.apache.thrift/libthrift/0.9.3-1
org.apache.zookeeper/zookeeper,org.apache.zookeeper/zookeeper/3.4.6
org.bouncycastle/bcpkix-jdk15on,org.bouncycastle/bcpkix-jdk15on/1.60
org.bouncycastle/bcprov-jdk15on,org.bouncycastle/bcprov-jdk15on/1.60
org.easymock/easymock,org.easymock/easymock/3.6
org.eclipse.jetty/jetty-server,org.eclipse.jetty/jetty-server/9.2.26.v20180806
org.slf4j/slf4j-log4j12,org.slf4j/slf4j-log4j12/1.7.25
org.apache.accumulo/accumulo-iterator-test-harness,org.apache.accumulo/accumulo-iterator-test-harness/1.9.3
