com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
log4j/log4j,log4j/log4j/1.2.17
org.apache.accumulo/accumulo-core,org.apache.accumulo/accumulo-core/1.9.3
org.apache.accumulo/accumulo-fate,org.apache.accumulo/accumulo-fate/1.9.3
org.apache.accumulo/accumulo-server-base,org.apache.accumulo/accumulo-server-base/1.9.3
org.apache.accumulo/accumulo-start,org.apache.accumulo/accumulo-start/1.9.3
org.apache.htrace/htrace-core,org.apache.htrace/htrace-core/3.1.0-incubating
org.apache.thrift/libthrift,org.apache.thrift/libthrift/0.9.3-1
org.apache.zookeeper/zookeeper,org.apache.zookeeper/zookeeper/3.4.6
org.slf4j/slf4j-api,org.slf4j/slf4j-api/1.7.25
junit/junit,junit/junit/4.12
org.easymock/easymock,org.easymock/easymock/3.6
org.slf4j/slf4j-log4j12,org.slf4j/slf4j-log4j12/1.7.25
