commons-codec/commons-codec,commons-codec/commons-codec/1.9
log4j/log4j,log4j/log4j/1.2.17
org.cryptacular/cryptacular,org.cryptacular/cryptacular/1.0
org.slf4j/slf4j-api,org.slf4j/slf4j-api/1.7.7
org.slf4j/jcl-over-slf4j,org.slf4j/jcl-over-slf4j/1.7.7
org.springframework/spring-core,org.springframework/spring-core/4.1.1.RELEASE
org.springframework.webflow/spring-webflow,org.springframework.webflow/spring-webflow/2.4.1.RELEASE
org.slf4j/slf4j-log4j12,org.slf4j/slf4j-log4j12/1.7.7
junit/junit,junit/junit/4.11
org.springframework/spring-test,org.springframework/spring-test/4.1.1.RELEASE
org.springframework/spring-webmvc,org.springframework/spring-webmvc/4.1.1.RELEASE
