aopalliance/aopalliance,aopalliance/aopalliance/1.0
com.fasterxml.jackson.core/jackson-databind,com.fasterxml.jackson.core/jackson-databind/2.9.9.2
com.google.guava/guava,com.google.guava/guava/23.0
com.sun.xml.bind/jaxb-impl,com.sun.xml.bind/jaxb-impl/2.2.7
commons-io/commons-io,commons-io/commons-io/2.6
edu.internet2.middleware.grouper/grouperClient,edu.internet2.middleware.grouper/grouperClient/2.4.0
javax.servlet/javax.servlet-api,javax.servlet/javax.servlet-api/4.0.1
me.grison/jtoml,me.grison/jtoml/1.0.0
org.apache.commons/commons-lang3,org.apache.commons/commons-lang3/3.9
org.apache.httpcomponents/httpclient,org.apache.httpcomponents/httpclient/4.5.9
org.apereo.service.persondir/person-directory-api,org.apereo.service.persondir/person-directory-api/1.8.14
org.codehaus.groovy/groovy-all,org.codehaus.groovy/groovy-all/2.4.15
org.ldaptive/ldaptive,org.ldaptive/ldaptive/1.2.4
org.slf4j/slf4j-api,org.slf4j/slf4j-api/1.7.26
org.springframework/spring-beans,org.springframework/spring-beans/4.3.25.RELEASE
org.springframework/spring-context,org.springframework/spring-context/4.3.25.RELEASE
org.springframework/spring-core,org.springframework/spring-core/4.3.25.RELEASE
org.springframework/spring-tx,org.springframework/spring-tx/4.3.25.RELEASE
org.springframework/spring-web,org.springframework/spring-web/4.3.25.RELEASE
org.springframework/spring-jdbc,org.springframework/spring-jdbc/4.3.25.RELEASE
org.springframework.ldap/spring-ldap-core,org.springframework.ldap/spring-ldap-core/2.3.2.RELEASE
org.springframework.security/spring-security-core,org.springframework.security/spring-security-core/4.2.11.RELEASE
org.springframework.security.extensions/spring-security-saml2-core,org.springframework.security.extensions/spring-security-saml2-core/1.0.9.RELEASE
org.springmodules/spring-modules-cache,org.springmodules/spring-modules-cache/0.8a
hsqldb/hsqldb,hsqldb/hsqldb/1.8.0.10
junit/junit,junit/junit/4.12
log4j/log4j,log4j/log4j/1.2.17
org.apache.directory.server/apacheds-core,org.apache.directory.server/apacheds-core/1.0.2
org.apache.directory.server/apacheds-protocol-ldap,org.apache.directory.server/apacheds-protocol-ldap/1.0.2
org.apache.directory.server/apacheds-server-jndi,org.apache.directory.server/apacheds-server-jndi/1.0.2
org.apache.directory.server/apacheds-server-unit,org.apache.directory.server/apacheds-server-unit/1.0.2
org.easymock/easymock,org.easymock/easymock/4.0.2
org.postgresql/postgresql,org.postgresql/postgresql/42.2.6
org.slf4j/slf4j-log4j12,org.slf4j/slf4j-log4j12/1.7.26
org.springframework/spring-aop,org.springframework/spring-aop/4.3.25.RELEASE
org.springframework/spring-test,org.springframework/spring-test/4.3.25.RELEASE
