jline/jline,jline/jline/2.12
org.apache.ant/ant,org.apache.ant/ant/1.9.7
org.fusesource.jansi/jansi,org.fusesource.jansi/jansi/1.14
com.googlecode.concurrentlinkedhashmap/concurrentlinkedhashmap-lru,com.googlecode.concurrentlinkedhashmap/concurrentlinkedhashmap-lru/1.4.2
org.codehaus.groovy/groovy,org.codehaus.groovy/groovy/2.4.15
org.grails/grails-bootstrap,org.grails/grails-bootstrap/3.3.5
org.grails/grails-spring,org.grails/grails-spring/3.3.5
org.grails/grails-datastore-core,org.grails/grails-datastore-core/6.1.9.RELEASE
org.hibernate.javax.persistence/hibernate-jpa-2.1-api,org.hibernate.javax.persistence/hibernate-jpa-2.1-api/1.0.0.Final
org.slf4j/slf4j-api,org.slf4j/slf4j-api/1.7.25
org.slf4j/jcl-over-slf4j,org.slf4j/jcl-over-slf4j/1.7.25
org.springframework/spring-core,org.springframework/spring-core/4.3.16.RELEASE
org.springframework/spring-tx,org.springframework/spring-tx/4.3.16.RELEASE
org.springframework/spring-beans,org.springframework/spring-beans/4.3.16.RELEASE
org.springframework/spring-context,org.springframework/spring-context/4.3.16.RELEASE
org.springframework.boot/spring-boot,org.springframework.boot/spring-boot/1.5.12.RELEASE
xalan/serializer,xalan/serializer/2.7.2
