antlr/antlr,antlr/antlr/2.7.7
com.fasterxml/classmate,com.fasterxml/classmate/1.3.4
javax.activation/javax.activation-api,javax.activation/javax.activation-api/1.2.0
javax.persistence/javax.persistence-api,javax.persistence/javax.persistence-api/2.2
javax.xml.bind/jaxb-api,javax.xml.bind/jaxb-api/2.3.1
net.bytebuddy/byte-buddy,net.bytebuddy/byte-buddy/1.9.10
org.dom4j/dom4j,org.dom4j/dom4j/2.1.1
org.glassfish.jaxb/jaxb-runtime,org.glassfish.jaxb/jaxb-runtime/2.3.1
org.hibernate.common/hibernate-commons-annotations,org.hibernate.common/hibernate-commons-annotations/5.1.0.Final
org.javassist/javassist,org.javassist/javassist/3.24.0-GA
org.jboss/jandex,org.jboss/jandex/2.0.5.Final
org.jboss.logging/jboss-logging,org.jboss.logging/jboss-logging/3.3.2.Final
org.jboss.spec.javax.transaction/jboss-transaction-api_1.2_spec,org.jboss.spec.javax.transaction/jboss-transaction-api_1.2_spec/1.1.1.Final
