commons-io/commons-io,commons-io/commons-io/2.4
org.apache.commons/commons-compress,org.apache.commons/commons-compress/1.4.1
org.ops4j.base/ops4j-base-spi,org.ops4j.base/ops4j-base-spi/1.5.0
org.ops4j.pax.exam/pax-exam,org.ops4j.pax.exam/pax-exam/4.9.1
org.ops4j.pax.exam/pax-exam-container-remote,org.ops4j.pax.exam/pax-exam-container-remote/4.9.1
org.ops4j.pax.swissbox/pax-swissbox-framework,org.ops4j.pax.swissbox/pax-swissbox-framework/1.8.2
org.apache.geronimo.specs/geronimo-atinject_1.0_spec,org.apache.geronimo.specs/geronimo-atinject_1.0_spec/1.0
org.kohsuke.metainf-services/metainf-services,org.kohsuke.metainf-services/metainf-services/1.2
org.osgi/org.osgi.core,org.osgi/org.osgi.core/4.3.1
org.osgi/org.osgi.compendium,org.osgi/org.osgi.compendium/4.3.1
ch.qos.logback/logback-core,ch.qos.logback/logback-core/1.0.7
ch.qos.logback/logback-classic,ch.qos.logback/logback-classic/1.0.7
org.hamcrest/hamcrest-core,org.hamcrest/hamcrest-core/1.3
org.ops4j.pax.exam/pax-exam-junit4,org.ops4j.pax.exam/pax-exam-junit4/4.9.1
org.ops4j.pax.exam/pax-exam-link-mvn,org.ops4j.pax.exam/pax-exam-link-mvn/4.9.1
org.ops4j.pax.exam/pax-exam-features,org.ops4j.pax.exam/pax-exam-features/4.9.1
org.ops4j.pax.url/pax-url-aether,org.ops4j.pax.url/pax-url-aether/2.4.5
org.slf4j/jul-to-slf4j,org.slf4j/jul-to-slf4j/1.6.6
