ant/ant,ant/ant/1.6.5
colt/colt,colt/colt/1.2.0
com.google.auto/auto-common,com.google.auto/auto-common/0.8
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
com.google.code.gson/gson,com.google.code.gson/gson/2.6.2
com.google.elemental2/elemental2-core,com.google.elemental2/elemental2-core/1.0.0-RC1
com.google.elemental2/elemental2-dom,com.google.elemental2/elemental2-dom/1.0.0-RC1
com.google.elemental2/elemental2-promise,com.google.elemental2/elemental2-promise/1.0.0-RC1
com.google.guava/guava,com.google.guava/guava/21.0
com.google.gwt/gwt-dev,com.google.gwt/gwt-dev/2.8.2
com.google.gwt/gwt-user,com.google.gwt/gwt-user/2.8.2
com.google.jsinterop/base,com.google.jsinterop/base/1.0.0-RC1
com.google.jsinterop/jsinterop-annotations,com.google.jsinterop/jsinterop-annotations/1.0.2
com.google.jsinterop/jsinterop-annotations,com.google.jsinterop/jsinterop-annotations/1.0.1
com.ibm.icu/icu4j,com.ibm.icu/icu4j/50.1.1
com.squareup/javapoet,com.squareup/javapoet/1.8.0
commons-collections/commons-collections,commons-collections/commons-collections/3.2.2
commons-io/commons-io,commons-io/commons-io/2.4
javax.annotation/javax.annotation-api,javax.annotation/javax.annotation-api/1.2
javax.servlet/javax.servlet-api,javax.servlet/javax.servlet-api/3.1.0
javax.validation/validation-api,javax.validation/validation-api/1.0.0.GA
org.eclipse.jetty/jetty-annotations,org.eclipse.jetty/jetty-annotations/9.2.14.v20151106
org.eclipse.jetty/jetty-continuation,org.eclipse.jetty/jetty-continuation/9.2.14.v20151106
org.eclipse.jetty/jetty-http,org.eclipse.jetty/jetty-http/9.2.14.v20151106
org.eclipse.jetty/jetty-io,org.eclipse.jetty/jetty-io/9.2.14.v20151106
org.eclipse.jetty/jetty-jndi,org.eclipse.jetty/jetty-jndi/9.2.14.v20151106
org.eclipse.jetty/jetty-plus,org.eclipse.jetty/jetty-plus/9.2.14.v20151106
org.eclipse.jetty/jetty-security,org.eclipse.jetty/jetty-security/9.2.14.v20151106
org.eclipse.jetty/jetty-server,org.eclipse.jetty/jetty-server/9.2.14.v20151106
org.eclipse.jetty/jetty-servlet,org.eclipse.jetty/jetty-servlet/9.2.14.v20151106
org.eclipse.jetty/jetty-servlets,org.eclipse.jetty/jetty-servlets/9.2.14.v20151106
org.eclipse.jetty/jetty-util,org.eclipse.jetty/jetty-util/9.2.14.v20151106
org.eclipse.jetty/jetty-webapp,org.eclipse.jetty/jetty-webapp/9.2.14.v20151106
org.eclipse.jetty/jetty-xml,org.eclipse.jetty/jetty-xml/9.2.14.v20151106
org.eclipse.jetty.toolchain/jetty-schemas,org.eclipse.jetty.toolchain/jetty-schemas/3.1.M0
org.ow2.asm/asm,org.ow2.asm/asm/5.0.3
org.ow2.asm/asm-util,org.ow2.asm/asm-util/5.0.3
org.ow2.asm/asm-tree,org.ow2.asm/asm-tree/5.0.3
org.ow2.asm/asm-commons,org.ow2.asm/asm-commons/5.0.3
org.realityforge.arez/arez-core,org.realityforge.arez/arez-core/0.62
org.realityforge.arez/arez-annotations,org.realityforge.arez/arez-annotations/0.62
org.realityforge.arez/arez-component,org.realityforge.arez/arez-component/0.62
org.realityforge.arez/arez-extras,org.realityforge.arez/arez-extras/0.62
org.realityforge.arez/arez-browser-extras,org.realityforge.arez/arez-browser-extras/0.62
org.realityforge.braincheck/braincheck,org.realityforge.braincheck/braincheck/1.4.0
org.realityforge.react4j/react4j-dom,org.realityforge.react4j/react4j-dom/0.52
org.realityforge.react4j/react4j-core,org.realityforge.react4j/react4j-core/0.52
org.realityforge.react4j/react4j-annotations,org.realityforge.react4j/react4j-annotations/0.52
org.realityforge.react4j/react4j-arez,org.realityforge.react4j/react4j-arez/0.52
org.realityforge.react4j/react4j-processor,org.realityforge.react4j/react4j-processor/0.52
org.w3c.css/sac,org.w3c.css/sac/1.3
tapestry/tapestry,tapestry/tapestry/4.0.2
com.google.code.findbugs/jsr305,com.google.code.findbugs/jsr305/3.0.1
org.jetbrains/annotations,org.jetbrains/annotations/15.0
org.realityforge.anodoc/anodoc,org.realityforge.anodoc/anodoc/1.0.0
