com.atomikos/transactions-jdbc,com.atomikos/transactions-jdbc/3.9.3
com.atomikos/transactions-jta,com.atomikos/transactions-jta/3.9.3
com.couchbase.client/couchbase-spring-cache,com.couchbase.client/couchbase-spring-cache/2.1.0
com.fasterxml.jackson.core/jackson-databind,com.fasterxml.jackson.core/jackson-databind/2.8.11.1
com.fasterxml.jackson.dataformat/jackson-dataformat-xml,com.fasterxml.jackson.dataformat/jackson-dataformat-xml/2.8.11
com.fasterxml.jackson.datatype/jackson-datatype-joda,com.fasterxml.jackson.datatype/jackson-datatype-joda/2.8.11
com.fasterxml.jackson.datatype/jackson-datatype-jsr310,com.fasterxml.jackson.datatype/jackson-datatype-jsr310/2.8.11
com.fasterxml.jackson.module/jackson-module-parameter-names,com.fasterxml.jackson.module/jackson-module-parameter-names/2.8.11
com.github.ben-manes.caffeine/caffeine,com.github.ben-manes.caffeine/caffeine/2.3.5
com.github.mxab.thymeleaf.extras/thymeleaf-extras-data-attribute,com.github.mxab.thymeleaf.extras/thymeleaf-extras-data-attribute/1.3
com.google.code.gson/gson,com.google.code.gson/gson/2.8.2
com.h2database/h2,com.h2database/h2/1.4.197
com.hazelcast/hazelcast,com.hazelcast/hazelcast/3.7.8
com.hazelcast/hazelcast-spring,com.hazelcast/hazelcast-spring/3.7.8
com.samskivert/jmustache,com.samskivert/jmustache/1.13
com.sendgrid/sendgrid-java,com.sendgrid/sendgrid-java/2.2.2
com.sun.mail/javax.mail,com.sun.mail/javax.mail/1.5.6
com.unboundid/unboundid-ldapsdk,com.unboundid/unboundid-ldapsdk/3.2.1
com.zaxxer/HikariCP-java6,com.zaxxer/HikariCP-java6/2.3.13
commons-dbcp/commons-dbcp,commons-dbcp/commons-dbcp/1.4
de.flapdoodle.embed/de.flapdoodle.embed.mongo,de.flapdoodle.embed/de.flapdoodle.embed.mongo/1.50.5
io.projectreactor.spring/reactor-spring-context,io.projectreactor.spring/reactor-spring-context/2.0.7.RELEASE
io.searchbox/jest,io.searchbox/jest/2.0.4
io.undertow/undertow-servlet,io.undertow/undertow-servlet/1.4.23.Final
io.undertow/undertow-websockets-jsr,io.undertow/undertow-websockets-jsr/1.4.23.Final
javax.cache/cache-api,javax.cache/cache-api/1.0.0
javax.jms/jms-api,javax.jms/jms-api/1.1-rev-1
javax.mail/javax.mail-api,javax.mail/javax.mail-api/1.5.6
net.sf.ehcache/ehcache,net.sf.ehcache/ehcache/2.10.4
nz.net.ultraq.thymeleaf/thymeleaf-layout-dialect,nz.net.ultraq.thymeleaf/thymeleaf-layout-dialect/1.4.0
org.apache.activemq/activemq-broker,org.apache.activemq/activemq-broker/5.14.5
org.apache.activemq/activemq-pool,org.apache.activemq/activemq-pool/5.14.5
org.apache.activemq/artemis-jms-client,org.apache.activemq/artemis-jms-client/1.5.6
org.apache.activemq/artemis-jms-server,org.apache.activemq/artemis-jms-server/1.5.6
org.apache.commons/commons-dbcp2,org.apache.commons/commons-dbcp2/2.1.1
org.apache.solr/solr-solrj,org.apache.solr/solr-solrj/5.5.5
org.apache.tomcat/tomcat-jdbc,org.apache.tomcat/tomcat-jdbc/8.5.29
org.apache.tomcat.embed/tomcat-embed-core,org.apache.tomcat.embed/tomcat-embed-core/8.5.29
org.apache.tomcat.embed/tomcat-embed-el,org.apache.tomcat.embed/tomcat-embed-el/8.5.29
org.aspectj/aspectjweaver,org.aspectj/aspectjweaver/1.8.13
org.codehaus.btm/btm,org.codehaus.btm/btm/2.1.4
org.codehaus.groovy/groovy-templates,org.codehaus.groovy/groovy-templates/2.4.15
org.eclipse.jetty/jetty-webapp,org.eclipse.jetty/jetty-webapp/9.4.9.v20180320
org.eclipse.jetty.websocket/javax-websocket-server-impl,org.eclipse.jetty.websocket/javax-websocket-server-impl/9.4.9.v20180320
org.ehcache/ehcache,org.ehcache/ehcache/3.2.3
