com.atomikos/transactions-jdbc,com.atomikos/transactions-jdbc/4.0.6
com.atomikos/transactions-jta,com.atomikos/transactions-jta/4.0.6
com.couchbase.client/couchbase-spring-cache,com.couchbase.client/couchbase-spring-cache/2.1.0
com.fasterxml.jackson.core/jackson-databind,com.fasterxml.jackson.core/jackson-databind/2.9.9
com.fasterxml.jackson.dataformat/jackson-dataformat-cbor,com.fasterxml.jackson.dataformat/jackson-dataformat-cbor/2.9.9
com.fasterxml.jackson.dataformat/jackson-dataformat-xml,com.fasterxml.jackson.dataformat/jackson-dataformat-xml/2.9.9
com.fasterxml.jackson.datatype/jackson-datatype-joda,com.fasterxml.jackson.datatype/jackson-datatype-joda/2.9.9
com.fasterxml.jackson.datatype/jackson-datatype-jsr310,com.fasterxml.jackson.datatype/jackson-datatype-jsr310/2.9.9
com.fasterxml.jackson.module/jackson-module-parameter-names,com.fasterxml.jackson.module/jackson-module-parameter-names/2.9.9
com.github.ben-manes.caffeine/caffeine,com.github.ben-manes.caffeine/caffeine/2.7.0
com.github.mxab.thymeleaf.extras/thymeleaf-extras-data-attribute,com.github.mxab.thymeleaf.extras/thymeleaf-extras-data-attribute/2.0.1
com.google.code.gson/gson,com.google.code.gson/gson/2.8.5
com.h2database/h2,com.h2database/h2/1.4.199
com.hazelcast/hazelcast,com.hazelcast/hazelcast/3.12.2
com.hazelcast/hazelcast-client,com.hazelcast/hazelcast-client/3.12.2
com.hazelcast/hazelcast-spring,com.hazelcast/hazelcast-spring/3.12.2
com.samskivert/jmustache,com.samskivert/jmustache/1.15
com.sendgrid/sendgrid-java,com.sendgrid/sendgrid-java/4.4.1
com.sun.mail/jakarta.mail,com.sun.mail/jakarta.mail/1.6.3
com.unboundid/unboundid-ldapsdk,com.unboundid/unboundid-ldapsdk/4.0.11
com.zaxxer/HikariCP,com.zaxxer/HikariCP/3.3.1
de.flapdoodle.embed/de.flapdoodle.embed.mongo,de.flapdoodle.embed/de.flapdoodle.embed.mongo/2.2.0
io.lettuce/lettuce-core,io.lettuce/lettuce-core/5.1.8.RELEASE
io.projectreactor.netty/reactor-netty,io.projectreactor.netty/reactor-netty/0.9.0.M3
io.rsocket/rsocket-core,io.rsocket/rsocket-core/0.12.2-RC4
io.rsocket/rsocket-transport-netty,io.rsocket/rsocket-transport-netty/0.12.2-RC4
io.searchbox/jest,io.searchbox/jest/6.3.1
io.undertow/undertow-servlet,io.undertow/undertow-servlet/2.0.23.Final
io.undertow/undertow-websockets-jsr,io.undertow/undertow-websockets-jsr/2.0.23.Final
jakarta.jms/jakarta.jms-api,jakarta.jms/jakarta.jms-api/2.0.2
jakarta.json.bind/jakarta.json.bind-api,jakarta.json.bind/jakarta.json.bind-api/1.0.1
jakarta.mail/jakarta.mail-api,jakarta.mail/jakarta.mail-api/1.6.3
jakarta.persistence/jakarta.persistence-api,jakarta.persistence/jakarta.persistence-api/2.2.2
jakarta.validation/jakarta.validation-api,jakarta.validation/jakarta.validation-api/2.0.1
jakarta.ws.rs/jakarta.ws.rs-api,jakarta.ws.rs/jakarta.ws.rs-api/2.1.5
javax.cache/cache-api,javax.cache/cache-api/1.1.1
javax.money/money-api,javax.money/money-api/1.0.3
net.sf.ehcache/ehcache,net.sf.ehcache/ehcache/2.10.6
nz.net.ultraq.thymeleaf/thymeleaf-layout-dialect,nz.net.ultraq.thymeleaf/thymeleaf-layout-dialect/2.4.1
org.apache.activemq/activemq-broker,org.apache.activemq/activemq-broker/5.15.9
