org.apache.tiles/tiles-api,org.apache.tiles/tiles-api/3.0.8
org.apache.tiles/tiles-core,org.apache.tiles/tiles-core/3.0.8
org.apache.tiles/tiles-el,org.apache.tiles/tiles-el/3.0.8
org.apache.tiles/tiles-extras,org.apache.tiles/tiles-extras/3.0.8
org.apache.tiles/tiles-jsp,org.apache.tiles/tiles-jsp/3.0.8
org.apache.tiles/tiles-servlet,org.apache.tiles/tiles-servlet/3.0.8
org.hibernate/hibernate-core,org.hibernate/hibernate-core/5.2.17.Final
org.springframework/spring-beans,org.springframework/spring-beans/5.0.9.RELEASE
org.springframework/spring-context,org.springframework/spring-context/5.0.9.RELEASE
org.springframework/spring-core,org.springframework/spring-core/5.0.9.RELEASE
org.springframework/spring-expression,org.springframework/spring-expression/5.0.9.RELEASE
org.springframework/spring-orm,org.springframework/spring-orm/5.0.9.RELEASE
org.springframework/spring-tx,org.springframework/spring-tx/5.0.9.RELEASE
org.springframework/spring-web,org.springframework/spring-web/5.0.9.RELEASE
org.springframework/spring-webmvc,org.springframework/spring-webmvc/5.0.9.RELEASE
org.springframework.security/spring-security-core,org.springframework.security/spring-security-core/5.0.8.RELEASE
org.springframework.webflow/spring-binding,org.springframework.webflow/spring-binding/2.5.1.RELEASE
javax.servlet/javax.servlet-api,javax.servlet/javax.servlet-api/3.1.0
junit/junit,junit/junit/4.12
