com.airbnb/deeplinkdispatch-base,com.airbnb/deeplinkdispatch-base/4.1.0
com.google.auto/auto-common,com.google.auto/auto-common/0.8
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
com.google.code.findbugs/jsr305,com.google.code.findbugs/jsr305/3.0.2
com.squareup/javapoet,com.squareup/javapoet/1.9.0
com.google.android/android,com.google.android/android/4.1.1.4
com.google.testing.compile/compile-testing,com.google.testing.compile/compile-testing/0.10
com.google.truth/truth,com.google.truth/truth/0.30
junit/junit,junit/junit/4.12
org.assertj/assertj-core,org.assertj/assertj-core/1.7.0
org.mockito/mockito-core,org.mockito/mockito-core/1.10.19
