com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
com.google.code.gson/gson,com.google.code.gson/gson/2.7
commons-codec/commons-codec,commons-codec/commons-codec/1.4
javax.servlet/javax.servlet-api,javax.servlet/javax.servlet-api/3.1.0
jline/jline,jline/jline/2.11
log4j/log4j,log4j/log4j/1.2.17
org.apache.accumulo/accumulo-core,org.apache.accumulo/accumulo-core/1.9.3
org.apache.accumulo/accumulo-fate,org.apache.accumulo/accumulo-fate/1.9.3
org.apache.accumulo/accumulo-server-base,org.apache.accumulo/accumulo-server-base/1.9.3
org.apache.accumulo/accumulo-shell,org.apache.accumulo/accumulo-shell/1.9.3
org.apache.accumulo/accumulo-tracer,org.apache.accumulo/accumulo-tracer/1.9.3
org.apache.thrift/libthrift,org.apache.thrift/libthrift/0.9.3-1
org.apache.zookeeper/zookeeper,org.apache.zookeeper/zookeeper/3.4.6
org.eclipse.jetty/jetty-security,org.eclipse.jetty/jetty-security/9.2.26.v20180806
org.eclipse.jetty/jetty-server,org.eclipse.jetty/jetty-server/9.2.26.v20180806
org.eclipse.jetty/jetty-servlet,org.eclipse.jetty/jetty-servlet/9.2.26.v20180806
org.eclipse.jetty/jetty-util,org.eclipse.jetty/jetty-util/9.2.26.v20180806
org.slf4j/slf4j-api,org.slf4j/slf4j-api/1.7.25
org.eclipse.jetty/jetty-http,org.eclipse.jetty/jetty-http/9.2.26.v20180806
org.eclipse.jetty/jetty-io,org.eclipse.jetty/jetty-io/9.2.26.v20180806
org.slf4j/slf4j-log4j12,org.slf4j/slf4j-log4j12/1.7.25
junit/junit,junit/junit/4.12
org.easymock/easymock,org.easymock/easymock/3.6
