org.apache.camel/apt,org.apache.camel/apt/3.0.0-RC1
org.apache.camel/camel-api,org.apache.camel/camel-api/3.0.0-RC1
org.apache.camel/camel-util,org.apache.camel/camel-util/3.0.0-RC1
org.apache.camel/camel-management-api,org.apache.camel/camel-management-api/3.0.0-RC1
org.apache.camel/camel-management-impl,org.apache.camel/camel-management-impl/3.0.0-RC1
org.apache.camel/camel-base,org.apache.camel/camel-base/3.0.0-RC1
org.apache.camel/camel-support,org.apache.camel/camel-support/3.0.0-RC1
org.apache.camel/camel-core,org.apache.camel/camel-core/3.0.0-RC1
org.apache.camel/camel-core-engine,org.apache.camel/camel-core-engine/3.0.0-RC1
org.apache.camel/camel-core-osgi,org.apache.camel/camel-core-osgi/3.0.0-RC1
org.apache.camel/camel-core-xml,org.apache.camel/camel-core-xml/3.0.0-RC1
org.apache.camel/camel-cloud,org.apache.camel/camel-cloud/3.0.0-RC1
org.apache.camel/camel-headersmap,org.apache.camel/camel-headersmap/3.0.0-RC1
org.apache.camel/camel-caffeine-lrucache,org.apache.camel/camel-caffeine-lrucache/3.0.0-RC1
org.apache.camel/camel-jaxp,org.apache.camel/camel-jaxp/3.0.0-RC1
org.apache.camel/camel-main,org.apache.camel/camel-main/3.0.0-RC1
org.apache.camel/camel-activemq,org.apache.camel/camel-activemq/3.0.0-RC1
org.apache.camel/camel-ahc,org.apache.camel/camel-ahc/3.0.0-RC1
org.apache.camel/camel-ahc-ws,org.apache.camel/camel-ahc-ws/3.0.0-RC1
org.apache.camel/camel-amqp,org.apache.camel/camel-amqp/3.0.0-RC1
org.apache.camel/camel-any23,org.apache.camel/camel-any23/3.0.0-RC1
org.apache.camel/camel-apns,org.apache.camel/camel-apns/3.0.0-RC1
org.apache.camel/camel-as2,org.apache.camel/camel-as2/3.0.0-RC1
org.apache.camel/camel-as2-api,org.apache.camel/camel-as2-api/3.0.0-RC1
org.apache.camel/camel-asn1,org.apache.camel/camel-asn1/3.0.0-RC1
org.apache.camel/camel-asterisk,org.apache.camel/camel-asterisk/3.0.0-RC1
org.apache.camel/camel-atmos,org.apache.camel/camel-atmos/3.0.0-RC1
org.apache.camel/camel-atmosphere-websocket,org.apache.camel/camel-atmosphere-websocket/3.0.0-RC1
org.apache.camel/camel-atom,org.apache.camel/camel-atom/3.0.0-RC1
org.apache.camel/camel-atomix,org.apache.camel/camel-atomix/3.0.0-RC1
org.apache.camel/camel-attachments,org.apache.camel/camel-attachments/3.0.0-RC1
org.apache.camel/camel-avro,org.apache.camel/camel-avro/3.0.0-RC1
org.apache.camel/camel-aws-cw,org.apache.camel/camel-aws-cw/3.0.0-RC1
org.apache.camel/camel-aws-ddb,org.apache.camel/camel-aws-ddb/3.0.0-RC1
org.apache.camel/camel-aws-ec2,org.apache.camel/camel-aws-ec2/3.0.0-RC1
org.apache.camel/camel-aws-ecs,org.apache.camel/camel-aws-ecs/3.0.0-RC1
org.apache.camel/camel-aws-eks,org.apache.camel/camel-aws-eks/3.0.0-RC1
org.apache.camel/camel-aws-iam,org.apache.camel/camel-aws-iam/3.0.0-RC1
org.apache.camel/camel-aws-kinesis,org.apache.camel/camel-aws-kinesis/3.0.0-RC1
org.apache.camel/camel-aws-kms,org.apache.camel/camel-aws-kms/3.0.0-RC1
org.apache.camel/camel-aws-lambda,org.apache.camel/camel-aws-lambda/3.0.0-RC1
org.apache.camel/camel-aws-mq,org.apache.camel/camel-aws-mq/3.0.0-RC1
org.apache.camel/camel-aws-msk,org.apache.camel/camel-aws-msk/3.0.0-RC1
org.apache.camel/camel-aws-s3,org.apache.camel/camel-aws-s3/3.0.0-RC1
org.apache.camel/camel-aws-sdb,org.apache.camel/camel-aws-sdb/3.0.0-RC1
org.apache.camel/camel-aws-ses,org.apache.camel/camel-aws-ses/3.0.0-RC1
org.apache.camel/camel-aws-sns,org.apache.camel/camel-aws-sns/3.0.0-RC1
org.apache.camel/camel-aws-sqs,org.apache.camel/camel-aws-sqs/3.0.0-RC1
org.apache.camel/camel-aws-swf,org.apache.camel/camel-aws-swf/3.0.0-RC1
org.apache.camel/camel-aws-xray,org.apache.camel/camel-aws-xray/3.0.0-RC1
org.apache.camel/camel-azure,org.apache.camel/camel-azure/3.0.0-RC1
org.apache.camel/camel-barcode,org.apache.camel/camel-barcode/3.0.0-RC1
org.apache.camel/camel-base64,org.apache.camel/camel-base64/3.0.0-RC1
org.apache.camel/camel-bean,org.apache.camel/camel-bean/3.0.0-RC1
org.apache.camel/camel-bean-validator,org.apache.camel/camel-bean-validator/3.0.0-RC1
org.apache.camel/camel-beanio,org.apache.camel/camel-beanio/3.0.0-RC1
org.apache.camel/camel-beanstalk,org.apache.camel/camel-beanstalk/3.0.0-RC1
org.apache.camel/camel-bindy,org.apache.camel/camel-bindy/3.0.0-RC1
org.apache.camel/camel-blueprint,org.apache.camel/camel-blueprint/3.0.0-RC1
org.apache.camel/camel-bonita,org.apache.camel/camel-bonita/3.0.0-RC1
org.apache.camel/camel-box,org.apache.camel/camel-box/3.0.0-RC1
org.apache.camel/camel-box-api,org.apache.camel/camel-box-api/3.0.0-RC1
org.apache.camel/camel-braintree,org.apache.camel/camel-braintree/3.0.0-RC1
org.apache.camel/camel-browse,org.apache.camel/camel-browse/3.0.0-RC1
org.apache.camel/camel-caffeine,org.apache.camel/camel-caffeine/3.0.0-RC1
org.apache.camel/camel-cassandraql,org.apache.camel/camel-cassandraql/3.0.0-RC1
org.apache.camel/camel-cbor,org.apache.camel/camel-cbor/3.0.0-RC1
org.apache.camel/camel-cdi,org.apache.camel/camel-cdi/3.0.0-RC1
org.apache.camel/camel-chatscript,org.apache.camel/camel-chatscript/3.0.0-RC1
org.apache.camel/camel-chunk,org.apache.camel/camel-chunk/3.0.0-RC1
org.apache.camel/camel-cm-sms,org.apache.camel/camel-cm-sms/3.0.0-RC1
org.apache.camel/camel-cmis,org.apache.camel/camel-cmis/3.0.0-RC1
org.apache.camel/camel-coap,org.apache.camel/camel-coap/3.0.0-RC1
org.apache.camel/camel-cometd,org.apache.camel/camel-cometd/3.0.0-RC1
org.apache.camel/camel-consul,org.apache.camel/camel-consul/3.0.0-RC1
org.apache.camel/camel-controlbus,org.apache.camel/camel-controlbus/3.0.0-RC1
org.apache.camel/camel-corda,org.apache.camel/camel-corda/3.0.0-RC1
org.apache.camel/camel-couchbase,org.apache.camel/camel-couchbase/3.0.0-RC1
org.apache.camel/camel-couchdb,org.apache.camel/camel-couchdb/3.0.0-RC1
org.apache.camel/camel-crypto,org.apache.camel/camel-crypto/3.0.0-RC1
org.apache.camel/camel-crypto-cms,org.apache.camel/camel-crypto-cms/3.0.0-RC1
org.apache.camel/camel-csv,org.apache.camel/camel-csv/3.0.0-RC1
org.apache.camel/camel-cxf,org.apache.camel/camel-cxf/3.0.0-RC1
org.apache.camel/camel-cxf-transport,org.apache.camel/camel-cxf-transport/3.0.0-RC1
org.apache.camel/camel-dataformat,org.apache.camel/camel-dataformat/3.0.0-RC1
org.apache.camel/camel-dataset,org.apache.camel/camel-dataset/3.0.0-RC1
org.apache.camel/camel-digitalocean,org.apache.camel/camel-digitalocean/3.0.0-RC1
org.apache.camel/camel-direct,org.apache.camel/camel-direct/3.0.0-RC1
org.apache.camel/camel-directvm,org.apache.camel/camel-directvm/3.0.0-RC1
org.apache.camel/camel-disruptor,org.apache.camel/camel-disruptor/3.0.0-RC1
org.apache.camel/camel-dns,org.apache.camel/camel-dns/3.0.0-RC1
org.apache.camel/camel-docker,org.apache.camel/camel-docker/3.0.0-RC1
org.apache.camel/camel-dozer,org.apache.camel/camel-dozer/3.0.0-RC1
org.apache.camel/camel-drill,org.apache.camel/camel-drill/3.0.0-RC1
org.apache.camel/camel-dropbox,org.apache.camel/camel-dropbox/3.0.0-RC1
org.apache.camel/camel-ehcache,org.apache.camel/camel-ehcache/3.0.0-RC1
org.apache.camel/camel-elasticsearch-rest,org.apache.camel/camel-elasticsearch-rest/3.0.0-RC1
org.apache.camel/camel-elsql,org.apache.camel/camel-elsql/3.0.0-RC1
org.apache.camel/camel-etcd,org.apache.camel/camel-etcd/3.0.0-RC1
org.apache.camel/camel-eventadmin,org.apache.camel/camel-eventadmin/3.0.0-RC1
org.apache.camel/camel-exec,org.apache.camel/camel-exec/3.0.0-RC1
org.apache.camel/camel-facebook,org.apache.camel/camel-facebook/3.0.0-RC1
org.apache.camel/camel-fastjson,org.apache.camel/camel-fastjson/3.0.0-RC1
org.apache.camel/camel-fhir,org.apache.camel/camel-fhir/3.0.0-RC1
org.apache.camel/camel-fhir-api,org.apache.camel/camel-fhir-api/3.0.0-RC1
org.apache.camel/camel-file,org.apache.camel/camel-file/3.0.0-RC1
