com.google.guava/guava,com.google.guava/guava/18.0
org.apache.jclouds/jclouds-core,org.apache.jclouds/jclouds-core/2.1.2
org.apache.jclouds/jclouds-compute,org.apache.jclouds/jclouds-compute/2.1.2
org.apache.jclouds/jclouds-blobstore,org.apache.jclouds/jclouds-blobstore/2.1.2
org.apache.jclouds.api/ec2,org.apache.jclouds.api/ec2/2.1.2
org.apache.jclouds.driver/jclouds-jsch,org.apache.jclouds.driver/jclouds-jsch/2.1.2
org.apache.jclouds.driver/jclouds-slf4j,org.apache.jclouds.driver/jclouds-slf4j/2.1.2
org.apache.jclouds.driver/jclouds-log4j,org.apache.jclouds.driver/jclouds-log4j/2.1.2
org.apache.jclouds.karaf/cache,org.apache.jclouds.karaf/cache/2.1.2
org.apache.jclouds.karaf/core,org.apache.jclouds.karaf/core/2.1.2
org.apache.jclouds.karaf/recipe,org.apache.jclouds.karaf/recipe/2.1.2
org.apache.jclouds.karaf/utils,org.apache.jclouds.karaf/utils/2.1.2
org.apache.jclouds.karaf/services,org.apache.jclouds.karaf/services/2.1.2
org.apache.karaf.shell/org.apache.karaf.shell.console,org.apache.karaf.shell/org.apache.karaf.shell.console/4.0.9
org.codehaus.groovy/groovy,org.codehaus.groovy/groovy/2.4.4
org.osgi/org.osgi.core,org.osgi/org.osgi.core/6.0.0
org.osgi/osgi.cmpn,org.osgi/osgi.cmpn/6.0.0
org.slf4j/slf4j-api,org.slf4j/slf4j-api/1.5.8
