io.methvin/directory-watcher,io.methvin/directory-watcher/0.3.0
org.codehaus.groovy/groovy,org.codehaus.groovy/groovy/2.4.15
org.codehaus.groovy/groovy-xml,org.codehaus.groovy/groovy-xml/2.4.15
org.codehaus.groovy/groovy-swing,org.codehaus.groovy/groovy-swing/2.4.15
org.codehaus.groovy/groovy-console,org.codehaus.groovy/groovy-console/2.4.15
org.codehaus.groovy/groovy-json,org.codehaus.groovy/groovy-json/2.4.15
org.codehaus.groovy/groovy-ant,org.codehaus.groovy/groovy-ant/2.4.15
org.codehaus.groovy/groovy-sql,org.codehaus.groovy/groovy-sql/2.4.15
org.codehaus.groovy/groovy-templates,org.codehaus.groovy/groovy-templates/2.4.15
org.codehaus.groovy/groovy-nio,org.codehaus.groovy/groovy-nio/2.4.15
org.grails/grails-bootstrap,org.grails/grails-bootstrap/3.3.5
org.grails/grails-codecs,org.grails/grails-codecs/3.3.5
org.grails/grails-console,org.grails/grails-console/3.3.5
org.grails/grails-core,org.grails/grails-core/3.3.5
org.grails/grails-databinding,org.grails/grails-databinding/3.3.5
org.grails/grails-dependencies,org.grails/grails-dependencies/3.3.5
org.grails/grails-docs,org.grails/grails-docs/3.3.5
org.grails/grails-encoder,org.grails/grails-encoder/3.3.5
org.grails/grails-gradle-model,org.grails/grails-gradle-model/3.3.5
org.grails/grails-gradle-plugin,org.grails/grails-gradle-plugin/3.3.5
org.grails/grails-logging,org.grails/grails-logging/3.3.5
org.grails/grails-plugin-codecs,org.grails/grails-plugin-codecs/3.3.5
org.grails/grails-plugin-controllers,org.grails/grails-plugin-controllers/3.3.5
org.grails/grails-plugin-databinding,org.grails/grails-plugin-databinding/3.3.5
org.grails/grails-plugin-datasource,org.grails/grails-plugin-datasource/3.3.5
org.grails/grails-plugin-domain-class,org.grails/grails-plugin-domain-class/3.3.5
org.grails/grails-plugin-i18n,org.grails/grails-plugin-i18n/3.3.5
org.grails/grails-plugin-interceptors,org.grails/grails-plugin-interceptors/3.3.5
org.grails/grails-plugin-mimetypes,org.grails/grails-plugin-mimetypes/3.3.5
org.grails/grails-plugin-rest,org.grails/grails-plugin-rest/3.3.5
org.grails/grails-plugin-services,org.grails/grails-plugin-services/3.3.5
org.grails/grails-plugin-url-mappings,org.grails/grails-plugin-url-mappings/3.3.5
org.grails/grails-plugin-validation,org.grails/grails-plugin-validation/3.3.5
org.grails/grails-shell,org.grails/grails-shell/3.3.5
org.grails/grails-spring,org.grails/grails-spring/3.3.5
org.grails/grails-test,org.grails/grails-test/3.3.5
org.grails/grails-test-suite-base,org.grails/grails-test-suite-base/2.2.5
org.grails/grails-test-suite-persistence,org.grails/grails-test-suite-persistence/2.0.1
org.grails/grails-test-suite-uber,org.grails/grails-test-suite-uber/2.0.1
org.grails/grails-test-suite-web,org.grails/grails-test-suite-web/2.0.1
org.grails/grails-validation,org.grails/grails-validation/3.3.5
org.grails/grails-web,org.grails/grails-web/3.3.5
org.grails/grails-web-boot,org.grails/grails-web-boot/3.3.5
org.grails/grails-web-common,org.grails/grails-web-common/3.3.5
org.grails/grails-web-databinding,org.grails/grails-web-databinding/3.3.5
org.grails/grails-web-fileupload,org.grails/grails-web-fileupload/3.3.5
org.grails/grails-web-mvc,org.grails/grails-web-mvc/3.3.5
org.grails/grails-web-url-mappings,org.grails/grails-web-url-mappings/3.3.5
org.grails/grails-datastore-core,org.grails/grails-datastore-core/6.1.9.RELEASE
org.grails/grails-datastore-simple,org.grails/grails-datastore-simple/6.0.12.RELEASE
org.grails/grails-datastore-web,org.grails/grails-datastore-web/6.1.9.RELEASE
org.grails/grails-datastore-rest-client,org.grails/grails-datastore-rest-client/6.1.9.RELEASE
org.grails/grails-datastore-gorm,org.grails/grails-datastore-gorm/6.1.9.RELEASE
org.grails/grails-datastore-gorm-validation,org.grails/grails-datastore-gorm-validation/6.1.9.RELEASE
org.grails/grails-datastore-gorm-support,org.grails/grails-datastore-gorm-support/6.1.9.RELEASE
org.grails/grails-datastore-gorm-async,org.grails/grails-datastore-gorm-async/6.1.9.RELEASE
org.grails/grails-datastore-test-support,org.grails/grails-datastore-test-support/5.0.13.RELEASE
org.grails,org.grails/grails-datastore-gorm-test
org.grails/grails-async-gpars,org.grails/grails-async-gpars/3.3.2
org.grails/grails-events-gpars,org.grails/grails-events-gpars/3.3.2
org.grails/grails-async-rxjava,org.grails/grails-async-rxjava/3.3.2
org.grails/grails-events-rxjava,org.grails/grails-events-rxjava/3.3.2
org.grails/grails-async-rxjava2,org.grails/grails-async-rxjava2/3.3.2
org.grails/grails-events-rxjava2,org.grails/grails-events-rxjava2/3.3.2
org.grails/grails-gorm-testing-support,org.grails/grails-gorm-testing-support/1.1.4
org.grails/grails-web-testing-support,org.grails/grails-web-testing-support/1.1.4
org.grails/grails-testing-support,org.grails/grails-testing-support/1.1.4
org.grails.plugins/cache,org.grails.plugins/cache/4.0.0
org.grails.plugins/hibernate5,org.grails.plugins/hibernate5/6.1.9
org.grails.plugins/hibernate4,org.grails.plugins/hibernate4/6.1.8
org.grails.plugins/scaffolding,org.grails.plugins/scaffolding/3.4.1
org.grails.plugins/grails-java8,org.grails.plugins/grails-java8/1.2.3
org.grails.plugins/rx-gorm-rest-client,org.grails.plugins/rx-gorm-rest-client/1.1.0.RELEASE
org.grails.plugins/views-json-templates,org.grails.plugins/views-json-templates/1.2.7
org.grails.plugins/rx-mongodb,org.grails.plugins/rx-mongodb/6.1.5
org.grails.plugins/fields,org.grails.plugins/fields/2.2.5
org.grails.plugins/neo4j,org.grails.plugins/neo4j/6.1.6
org.grails.plugins/views-json,org.grails.plugins/views-json/1.2.7
org.grails.plugins/rxjava,org.grails.plugins/rxjava/1.1.1
org.grails.plugins/views-markup,org.grails.plugins/views-markup/1.2.7
org.grails.plugins/mongodb,org.grails.plugins/mongodb/6.1.5
org.grails.plugins/geb,org.grails.plugins/geb/1.1.4
org.grails.plugins/async,org.grails.plugins/async/3.3.2
org.grails.plugins/events,org.grails.plugins/events/3.3.2
org.grails.plugins/gsp,org.grails.plugins/gsp/3.3.1
org.grails.profiles/angularjs,org.grails.profiles/angularjs/1.1.2
org.grails.profiles/base,org.grails.profiles/base/3.3.2
org.grails.profiles/profile,org.grails.profiles/profile/3.3.1
org.grails.profiles/rest-api,org.grails.profiles/rest-api/3.3.3
org.grails.profiles/react,org.grails.profiles/react/2.1.4
org.grails.profiles/web,org.grails.profiles/web/3.3.2
org.grails.profiles/plugin,org.grails.profiles/plugin/3.2.3
org.grails.profiles/vue,org.grails.profiles/vue/1.0.0
org.grails.profiles/angular,org.grails.profiles/angular/4.1.1
org.grails.profiles/webpack,org.grails.profiles/webpack/1.1.4
org.grails.profiles/rest-api-plugin,org.grails.profiles/rest-api-plugin/3.2.0
org.grails.profiles/web-plugin,org.grails.profiles/web-plugin/3.3.0
org.grails.profiles/react-webpack,org.grails.profiles/react-webpack/1.0.5
org.grails.profiles/web-jboss7,org.grails.profiles/web-jboss7/1.0.0.RC2
org.spockframework/spock-core,org.spockframework/spock-core/1.1-groovy-2.4
org.spockframework/spock-spring,org.spockframework/spock-spring/1.1-groovy-2.4
org.springframework/spring-aop,org.springframework/spring-aop/4.3.16.RELEASE
org.springframework/spring-aspects,org.springframework/spring-aspects/4.3.16.RELEASE
org.springframework/spring-beans,org.springframework/spring-beans/4.3.16.RELEASE
org.springframework/spring-context-support,org.springframework/spring-context-support/4.3.16.RELEASE
org.springframework/spring-context,org.springframework/spring-context/4.3.16.RELEASE
org.springframework/spring-core,org.springframework/spring-core/4.3.16.RELEASE
org.springframework/spring-expression,org.springframework/spring-expression/4.3.16.RELEASE
org.springframework/spring-instrument,org.springframework/spring-instrument/4.3.16.RELEASE
org.springframework/spring-jdbc,org.springframework/spring-jdbc/4.3.16.RELEASE
org.springframework/spring-jms,org.springframework/spring-jms/4.3.16.RELEASE
org.springframework/spring-messaging,org.springframework/spring-messaging/4.3.16.RELEASE
org.springframework/spring-orm,org.springframework/spring-orm/4.3.16.RELEASE
org.springframework/spring-oxm,org.springframework/spring-oxm/4.3.16.RELEASE
org.springframework/spring-test,org.springframework/spring-test/4.3.16.RELEASE
org.springframework/spring-tx,org.springframework/spring-tx/4.3.16.RELEASE
org.springframework/spring-web,org.springframework/spring-web/4.3.16.RELEASE
org.springframework/spring-webmvc,org.springframework/spring-webmvc/4.3.16.RELEASE
org.springframework/spring-websocket,org.springframework/spring-websocket/4.3.16.RELEASE
org.springframework/springloaded,org.springframework/springloaded/1.2.8.RELEASE
