com.google.auto/auto-common,com.google.auto/auto-common/0.8
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
com.google.guava/guava,com.google.guava/guava/21.0
com.squareup/javapoet,com.squareup/javapoet/1.8.0
com.google.code.findbugs/jsr305,com.google.code.findbugs/jsr305/3.0.1
ant/ant,ant/ant/1.6.5
colt/colt,colt/colt/1.2.0
com.beust/jcommander,com.beust/jcommander/1.27
com.google.code.gson/gson,com.google.code.gson/gson/2.6.2
com.google.dagger/dagger,com.google.dagger/dagger/2.13
com.google.dagger/dagger-producers,com.google.dagger/dagger-producers/2.13
com.google.dagger/dagger-compiler,com.google.dagger/dagger-compiler/2.13
com.google.errorprone/javac-shaded,com.google.errorprone/javac-shaded/9-dev-r4023-3
com.google.googlejavaformat/google-java-format,com.google.googlejavaformat/google-java-format/1.4
com.google.gwt/gwt-dev,com.google.gwt/gwt-dev/2.8.2
com.google.gwt/gwt-user,com.google.gwt/gwt-user/2.8.2
com.google.jsinterop/jsinterop-annotations,com.google.jsinterop/jsinterop-annotations/1.0.2
com.google.jsinterop/jsinterop-annotations,com.google.jsinterop/jsinterop-annotations/1.0.1
com.google.testing.compile/compile-testing,com.google.testing.compile/compile-testing/0.11
com.google.truth/truth,com.google.truth/truth/0.35
com.ibm.icu/icu4j,com.ibm.icu/icu4j/50.1.1
commons-collections/commons-collections,commons-collections/commons-collections/3.2.2
commons-io/commons-io,commons-io/commons-io/2.4
javax.annotation/javax.annotation-api,javax.annotation/javax.annotation-api/1.2
javax.inject/javax.inject,javax.inject/javax.inject/1
javax.servlet/javax.servlet-api,javax.servlet/javax.servlet-api/3.1.0
javax.validation/validation-api,javax.validation/validation-api/1.0.0.GA
org.eclipse.jetty/jetty-annotations,org.eclipse.jetty/jetty-annotations/9.2.14.v20151106
org.eclipse.jetty/jetty-continuation,org.eclipse.jetty/jetty-continuation/9.2.14.v20151106
org.eclipse.jetty/jetty-http,org.eclipse.jetty/jetty-http/9.2.14.v20151106
org.eclipse.jetty/jetty-io,org.eclipse.jetty/jetty-io/9.2.14.v20151106
org.eclipse.jetty/jetty-jndi,org.eclipse.jetty/jetty-jndi/9.2.14.v20151106
org.eclipse.jetty/jetty-plus,org.eclipse.jetty/jetty-plus/9.2.14.v20151106
org.eclipse.jetty/jetty-security,org.eclipse.jetty/jetty-security/9.2.14.v20151106
org.eclipse.jetty/jetty-server,org.eclipse.jetty/jetty-server/9.2.14.v20151106
org.eclipse.jetty/jetty-servlet,org.eclipse.jetty/jetty-servlet/9.2.14.v20151106
org.eclipse.jetty/jetty-servlets,org.eclipse.jetty/jetty-servlets/9.2.14.v20151106
org.eclipse.jetty/jetty-util,org.eclipse.jetty/jetty-util/9.2.14.v20151106
org.eclipse.jetty/jetty-webapp,org.eclipse.jetty/jetty-webapp/9.2.14.v20151106
org.eclipse.jetty/jetty-xml,org.eclipse.jetty/jetty-xml/9.2.14.v20151106
org.eclipse.jetty.toolchain/jetty-schemas,org.eclipse.jetty.toolchain/jetty-schemas/3.1.M0
org.hamcrest/hamcrest-core,org.hamcrest/hamcrest-core/1.1
org.hamcrest/hamcrest-library,org.hamcrest/hamcrest-library/1.1
org.jmock/jmock,org.jmock/jmock/2.5.1
org.jmock/jmock-junit4,org.jmock/jmock-junit4/2.5.1
org.ow2.asm/asm,org.ow2.asm/asm/5.0.3
org.ow2.asm/asm-util,org.ow2.asm/asm-util/5.0.3
org.ow2.asm/asm-tree,org.ow2.asm/asm-tree/5.0.3
org.ow2.asm/asm-commons,org.ow2.asm/asm-commons/5.0.3
org.realityforge.anodoc/anodoc,org.realityforge.anodoc/anodoc/1.0.0
org.realityforge.arez/arez-annotations,org.realityforge.arez/arez-annotations/0.70
org.realityforge.arez/arez-core,org.realityforge.arez/arez-core/0.70
org.realityforge.arez/arez-component,org.realityforge.arez/arez-component/0.70
org.realityforge.braincheck/braincheck,org.realityforge.braincheck/braincheck/1.4.0
org.realityforge.guiceyloops/guiceyloops,org.realityforge.guiceyloops/guiceyloops/0.92
org.testng/testng,org.testng/testng/6.11
org.w3c.css/sac,org.w3c.css/sac/1.3
tapestry/tapestry,tapestry/tapestry/4.0.2
