com.google.auto/auto-common,com.google.auto/auto-common/0.10
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
com.google.guava/guava,com.google.guava/guava/25.0-jre
com.squareup/javapoet,com.squareup/javapoet/1.11.1
org.realityforge.javax.annotation/javax.annotation,org.realityforge.javax.annotation/javax.annotation/1.0.0
com.beust/jcommander,com.beust/jcommander/1.27
com.google.jsinterop/jsinterop-annotations,com.google.jsinterop/jsinterop-annotations/1.0.2
com.google.testing.compile/compile-testing,com.google.testing.compile/compile-testing/0.15
com.google.truth/truth,com.google.truth/truth/0.39
junit/junit,junit/junit/4.12
org.hamcrest/hamcrest-core,org.hamcrest/hamcrest-core/1.3
org.hamcrest/hamcrest-core,org.hamcrest/hamcrest-core/1.1
org.hamcrest/hamcrest-library,org.hamcrest/hamcrest-library/1.1
org.jmock/jmock,org.jmock/jmock/2.5.1
org.jmock/jmock-junit4,org.jmock/jmock-junit4/2.5.1
org.realityforge.arez/arez-core,org.realityforge.arez/arez-core/0.143
org.realityforge.arez/arez-processor,org.realityforge.arez/arez-processor/0.143
org.realityforge.braincheck/braincheck,org.realityforge.braincheck/braincheck/1.20.0
org.realityforge.com.google.elemental2/elemental2-core,org.realityforge.com.google.elemental2/elemental2-core/2.24
org.realityforge.com.google.elemental2/elemental2-dom,org.realityforge.com.google.elemental2/elemental2-dom/2.24
org.realityforge.com.google.elemental2/elemental2-promise,org.realityforge.com.google.elemental2/elemental2-promise/2.24
org.realityforge.com.google.jsinterop/base,org.realityforge.com.google.jsinterop/base/1.0.0-b2-e6d791f
org.realityforge.guiceyloops/guiceyloops,org.realityforge.guiceyloops/guiceyloops/0.102
org.realityforge.router.fu/router-fu-core,org.realityforge.router.fu/router-fu-core/0.18
org.testng/testng,org.testng/testng/6.11
