ch.qos.logback/logback-classic,ch.qos.logback/logback-classic/1.2.3
com.atomikos/transactions-jdbc,com.atomikos/transactions-jdbc/4.0.6
com.atomikos/transactions-jms,com.atomikos/transactions-jms/4.0.6
com.atomikos/transactions-jta,com.atomikos/transactions-jta/4.0.6
com.fasterxml.jackson.core/jackson-databind,com.fasterxml.jackson.core/jackson-databind/2.9.9
com.google.code.gson/gson,com.google.code.gson/gson/2.8.5
com.samskivert/jmustache,com.samskivert/jmustache/1.15
com.sendgrid/sendgrid-java,com.sendgrid/sendgrid-java/4.4.1
com.zaxxer/HikariCP,com.zaxxer/HikariCP/3.3.1
io.netty/netty-tcnative-boringssl-static,io.netty/netty-tcnative-boringssl-static/2.0.25.Final
io.projectreactor/reactor-tools,io.projectreactor/reactor-tools/3.3.0.M3
io.projectreactor.netty/reactor-netty,io.projectreactor.netty/reactor-netty/0.9.0.M3
io.rsocket/rsocket-core,io.rsocket/rsocket-core/0.12.2-RC4
io.rsocket/rsocket-transport-netty,io.rsocket/rsocket-transport-netty/0.12.2-RC4
io.undertow/undertow-servlet,io.undertow/undertow-servlet/2.0.23.Final
jakarta.jms/jakarta.jms-api,jakarta.jms/jakarta.jms-api/2.0.2
jakarta.servlet/jakarta.servlet-api,jakarta.servlet/jakarta.servlet-api/4.0.2
jakarta.validation/jakarta.validation-api,jakarta.validation/jakarta.validation-api/2.0.1
junit/junit,junit/junit/4.12
org.apache.commons/commons-dbcp2,org.apache.commons/commons-dbcp2/2.6.0
org.apache.httpcomponents/httpclient,org.apache.httpcomponents/httpclient/4.5.9
org.apache.logging.log4j/log4j-api,org.apache.logging.log4j/log4j-api/2.12.0
org.apache.logging.log4j/log4j-core,org.apache.logging.log4j/log4j-core/2.12.0
org.apache.tomcat/tomcat-jdbc,org.apache.tomcat/tomcat-jdbc/9.0.22
org.apache.tomcat.embed/tomcat-embed-core,org.apache.tomcat.embed/tomcat-embed-core/9.0.22
org.apache.tomcat.embed/tomcat-embed-jasper,org.apache.tomcat.embed/tomcat-embed-jasper/9.0.22
org.assertj/assertj-core,org.assertj/assertj-core/3.13.2
org.codehaus.btm/btm,org.codehaus.btm/btm/2.1.4
org.codehaus.groovy/groovy,org.codehaus.groovy/groovy/2.5.7
org.codehaus.groovy/groovy-xml,org.codehaus.groovy/groovy-xml/2.5.7
org.eclipse.jetty/jetty-servlets,org.eclipse.jetty/jetty-servlets/9.4.19.v20190610
org.eclipse.jetty/jetty-util,org.eclipse.jetty/jetty-util/9.4.19.v20190610
org.eclipse.jetty/jetty-webapp,org.eclipse.jetty/jetty-webapp/9.4.19.v20190610
org.eclipse.jetty/jetty-alpn-conscrypt-server,org.eclipse.jetty/jetty-alpn-conscrypt-server/9.4.19.v20190610
org.eclipse.jetty.http2/http2-server,org.eclipse.jetty.http2/http2-server/9.4.19.v20190610
org.hamcrest/hamcrest,org.hamcrest/hamcrest/2.1
org.hibernate/hibernate-core,org.hibernate/hibernate-core/5.4.4.Final
org.hibernate.validator/hibernate-validator,org.hibernate.validator/hibernate-validator/6.0.17.Final
org.jboss/jboss-transaction-spi,org.jboss/jboss-transaction-spi/7.6.0.Final
org.jetbrains.kotlin/kotlin-reflect,org.jetbrains.kotlin/kotlin-reflect/1.3.41
org.jetbrains.kotlin/kotlin-stdlib,org.jetbrains.kotlin/kotlin-stdlib/1.3.41
org.liquibase/liquibase-core,org.liquibase/liquibase-core/3.7.0
org.neo4j/neo4j-ogm-core,org.neo4j/neo4j-ogm-core/3.2.0-RC1
org.slf4j/jul-to-slf4j,org.slf4j/jul-to-slf4j/1.7.26
org.slf4j/slf4j-api,org.slf4j/slf4j-api/1.7.26
org.springframework/spring-core,org.springframework/spring-core/5.2.0.RC1
org.springframework/spring-context,org.springframework/spring-context/5.2.0.RC1
org.springframework/spring-messaging,org.springframework/spring-messaging/5.2.0.RC1
org.springframework/spring-orm,org.springframework/spring-orm/5.2.0.RC1
org.springframework/spring-oxm,org.springframework/spring-oxm/5.2.0.RC1
org.springframework/spring-test,org.springframework/spring-test/5.2.0.RC1
org.springframework/spring-web,org.springframework/spring-web/5.2.0.RC1
org.springframework/spring-webflux,org.springframework/spring-webflux/5.2.0.RC1
org.springframework/spring-webmvc,org.springframework/spring-webmvc/5.2.0.RC1
org.springframework.boot/spring-boot-configuration-processor,org.springframework.boot/spring-boot-configuration-processor/2.2.0.M5
org.springframework.security/spring-security-web,org.springframework.security/spring-security-web/5.2.0.M4
org.springframework.ws/spring-ws-core,org.springframework.ws/spring-ws-core/3.0.7.RELEASE
org.yaml/snakeyaml,org.yaml/snakeyaml/1.24
