antlr/antlr,antlr/antlr/2.7.7
ch.qos.logback/logback-access,ch.qos.logback/logback-access/1.1.11
ch.qos.logback/logback-classic,ch.qos.logback/logback-classic/1.1.11
ch.qos.logback/logback-core,ch.qos.logback/logback-core/1.1.11
com.atomikos/transactions-jdbc,com.atomikos/transactions-jdbc/3.9.3
com.atomikos/transactions-jms,com.atomikos/transactions-jms/3.9.3
com.atomikos/transactions-jta,com.atomikos/transactions-jta/3.9.3
com.couchbase.client/java-client,com.couchbase.client/java-client/2.3.7
com.couchbase.client/couchbase-spring-cache,com.couchbase.client/couchbase-spring-cache/2.1.0
com.datastax.cassandra/cassandra-driver-core,com.datastax.cassandra/cassandra-driver-core/3.1.4
com.datastax.cassandra/cassandra-driver-mapping,com.datastax.cassandra/cassandra-driver-mapping/3.1.4
com.fasterxml/classmate,com.fasterxml/classmate/1.3.4
com.fasterxml.jackson/jackson-bom,com.fasterxml.jackson/jackson-bom/2.8.11.20180217
com.fasterxml.jackson.core/jackson-annotations,com.fasterxml.jackson.core/jackson-annotations/2.8.0
com.fasterxml.jackson.core/jackson-core,com.fasterxml.jackson.core/jackson-core/2.8.11
com.fasterxml.jackson.core/jackson-databind,com.fasterxml.jackson.core/jackson-databind/2.8.11.1
com.fasterxml.jackson.dataformat/jackson-dataformat-avro,com.fasterxml.jackson.dataformat/jackson-dataformat-avro/2.8.11
com.fasterxml.jackson.dataformat/jackson-dataformat-cbor,com.fasterxml.jackson.dataformat/jackson-dataformat-cbor/2.8.11
com.fasterxml.jackson.dataformat/jackson-dataformat-csv,com.fasterxml.jackson.dataformat/jackson-dataformat-csv/2.8.11
com.fasterxml.jackson.dataformat/jackson-dataformat-ion,com.fasterxml.jackson.dataformat/jackson-dataformat-ion/2.10.0.pr2
com.fasterxml.jackson.dataformat/jackson-dataformat-properties,com.fasterxml.jackson.dataformat/jackson-dataformat-properties/2.8.11
com.fasterxml.jackson.dataformat/jackson-dataformat-protobuf,com.fasterxml.jackson.dataformat/jackson-dataformat-protobuf/2.8.11
com.fasterxml.jackson.dataformat/jackson-dataformat-smile,com.fasterxml.jackson.dataformat/jackson-dataformat-smile/2.8.11
com.fasterxml.jackson.dataformat/jackson-dataformat-xml,com.fasterxml.jackson.dataformat/jackson-dataformat-xml/2.8.11
com.fasterxml.jackson.dataformat/jackson-dataformat-yaml,com.fasterxml.jackson.dataformat/jackson-dataformat-yaml/2.8.11
com.fasterxml.jackson.datatype/jackson-datatype-guava,com.fasterxml.jackson.datatype/jackson-datatype-guava/2.8.11
com.fasterxml.jackson.datatype/jackson-datatype-hibernate3,com.fasterxml.jackson.datatype/jackson-datatype-hibernate3/2.8.11
com.fasterxml.jackson.datatype/jackson-datatype-hibernate4,com.fasterxml.jackson.datatype/jackson-datatype-hibernate4/2.8.11
com.fasterxml.jackson.datatype/jackson-datatype-hibernate5,com.fasterxml.jackson.datatype/jackson-datatype-hibernate5/2.8.11
com.fasterxml.jackson.datatype/jackson-datatype-hppc,com.fasterxml.jackson.datatype/jackson-datatype-hppc/2.8.11
com.fasterxml.jackson.datatype/jackson-datatype-jaxrs,com.fasterxml.jackson.datatype/jackson-datatype-jaxrs/2.8.11
com.fasterxml.jackson.datatype/jackson-datatype-joda,com.fasterxml.jackson.datatype/jackson-datatype-joda/2.8.11
com.fasterxml.jackson.datatype/jackson-datatype-jdk8,com.fasterxml.jackson.datatype/jackson-datatype-jdk8/2.8.11
com.fasterxml.jackson.datatype/jackson-datatype-json-org,com.fasterxml.jackson.datatype/jackson-datatype-json-org/2.8.11
com.fasterxml.jackson.datatype/jackson-datatype-jsr310,com.fasterxml.jackson.datatype/jackson-datatype-jsr310/2.8.11
com.fasterxml.jackson.datatype/jackson-datatype-jsr353,com.fasterxml.jackson.datatype/jackson-datatype-jsr353/2.8.11
com.fasterxml.jackson.datatype/jackson-datatype-pcollections,com.fasterxml.jackson.datatype/jackson-datatype-pcollections/2.8.11
com.fasterxml.jackson.jaxrs/jackson-jaxrs-base,com.fasterxml.jackson.jaxrs/jackson-jaxrs-base/2.8.11
com.fasterxml.jackson.jaxrs/jackson-jaxrs-cbor-provider,com.fasterxml.jackson.jaxrs/jackson-jaxrs-cbor-provider/2.8.11
com.fasterxml.jackson.jaxrs/jackson-jaxrs-json-provider,com.fasterxml.jackson.jaxrs/jackson-jaxrs-json-provider/2.8.11
com.fasterxml.jackson.jaxrs/jackson-jaxrs-smile-provider,com.fasterxml.jackson.jaxrs/jackson-jaxrs-smile-provider/2.8.11
com.fasterxml.jackson.jaxrs/jackson-jaxrs-xml-provider,com.fasterxml.jackson.jaxrs/jackson-jaxrs-xml-provider/2.8.11
com.fasterxml.jackson.jaxrs/jackson-jaxrs-yaml-provider,com.fasterxml.jackson.jaxrs/jackson-jaxrs-yaml-provider/2.8.11
