cglib/cglib-nodep,cglib/cglib-nodep/2.1_3
commons-attributes/commons-attributes-api,commons-attributes/commons-attributes-api/2.1
commons-attributes/commons-attributes-compiler,commons-attributes/commons-attributes-compiler/2.1
commons-collections/commons-collections,commons-collections/commons-collections/3.1
commons-lang/commons-lang,commons-lang/commons-lang/2.1
commons-logging/commons-logging,commons-logging/commons-logging/1.0.4
concurrent/concurrent,concurrent/concurrent/1.3.4
ehcache/ehcache,ehcache/ehcache/1.1
geronimo-spec/geronimo-spec-jta,geronimo-spec/geronimo-spec-jta/1.0.1B-rc4
jboss/javassist,jboss/javassist/3.0
jboss/jboss-cache,jboss/jboss-cache/1.2.4
jboss/jboss-common,jboss/jboss-common/4.0.3
jboss/jboss-jmx,jboss/jboss-jmx/4.0.3
jboss/jboss-minimal,jboss/jboss-minimal/4.0.3
jboss/jboss-system,jboss/jboss-system/4.0.3
jcs/jcs,org.apache.jcs/jcs/1.3
jgroups/jgroups-all,jgroups/jgroups-all/2.2.8
jini,jini
opensymphony/oscache,opensymphony/oscache/2.1.1
org.springframework/spring,org.springframework/spring/2.0.3
oro/oro,oro/oro/2.0.8
xjavadoc/xjavadoc,xjavadoc/xjavadoc/1.1
xpp3/xpp3_min,xpp3/xpp3_min/1.1.4c
xstream/xstream,xstream/xstream/1.1.2
backport-util-concurrent/backport-util-concurrent,backport-util-concurrent/backport-util-concurrent/2.1
clover/clover,clover/clover/1.3.9
easymock/easymock,easymock/easymock/1.1
easymock/easymockclassextension,easymock/easymockclassextension/1.1
junit/junit,junit/junit/3.8.1
org.springframework/spring-mock,org.springframework/spring-mock/2.0.3
